Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26
0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
1;1;-7;-4;1000;51867;64182;15897;14006;1462;2161;55436;238806;904619;13;4747;52166;238802;813862;84195;3;392;2388;1000;3906;23419
1;2;19;-3;1000;51867;64215;159182;140314;1462;2161;55375;238804;904407;13;4749;52228;238807;813149;84318;3;392;2388;1000;390;234236
1;3;-43;3;1000;51867;64235;158799;14042;1462;2161;55426;238808;905294;13;4727;52242;238803;813323;84178;3;390;2388;1000;3895;233442
1;4;7;0;1000;51867;64235;158279;140187;1462;2161;55445;238811;904948;13;4713;52286;238808;813383;83682;3;392;2388;1000;3888;233739
1;5;-19;-2;1000;51867;64237;158285;140622;1462;2161;5540;238806;905515;13;4728;52219;238804;81338;84294;3;393;2388;1000;389;234044
1;6;-43;-1;1000;51867;6421;158447;139837;1462;2161;55467;238802;904968;13;4716;52168;238803;813285;84108;3;391;2388;1000;3898;233669
1;7;1;1;1000;51867;64248;159232;139777;1462;2161;55434;238802;905913;13;4736;52232;238803;813232;83974;3;392;2388;1000;391;233774
1;8;-34;3;1000;51867;64256;158296;140097;1462;2161;55385;23880;90408;13;4724;52247;238803;813107;84076;3;391;2388;1000;3897;233106
1;9;8;1;1000;51867;64212;159098;13948;1462;2161;55369;238805;904646;13;4729;52179;238805;812569;83728;3;392;2388;1000;3905;234066
1;10;-33;1;1000;51867;64171;159124;140046;1462;2161;55359;238805;90517;13;4703;52179;238806;812938;84286;3;393;2388;1000;3895;234694
1;11;18;-3;1000;51867;64228;158175;140064;1462;2161;55454;238805;904961;13;4715;5214;238801;814058;8434;3;392;2388;1000;3894;234787
1;12;16;2;1000;51867;64206;158341;140015;1462;2161;55452;238809;904937;13;4718;5218;238802;813425;83938;3;391;2388;1000;3906;23366
1;13;-19;4;1000;51867;64307;158219;140083;1462;2161;55344;238812;904682;13;4738;52185;238808;81281;84152;3;393;2388;1000;3893;232757
1;14;9;0;1000;51867;64235;159295;139916;1462;2161;55448;238809;904737;13;4744;52167;23880;813443;83964;3;393;2388;1000;3918;233826
1;15;-18;-3;1000;51867;64243;158382;140213;1462;2161;55364;238811;905222;13;473;5225;238808;812756;84199;3;391;2388;1000;3899;2335
1;16;6;5;1000;51867;64213;158798;14045;1462;2161;55394;238805;904934;13;4724;52149;238807;813611;83936;3;392;2388;1000;3897;23455
1;17;2;2;1000;51867;64258;158496;139995;1462;2161;5538;238806;905492;13;4712;52189;238804;813727;84542;3;392;2388;1000;3881;233319
1;18;-31;-1;1000;51867;64262;159104;139612;1462;2161;5542;238805;904955;13;4721;52176;238807;813273;84028;3;392;2388;1000;3889;233987
1;19;32;-3;1000;51867;64179;158756;140035;1462;2161;55418;238804;905399;13;474;52189;238803;812913;84321;3;391;2388;1000;388;233464
1;20;-37;1;1000;51867;64304;158111;140523;1462;2161;55481;238805;90459;13;4722;52207;238802;812971;8421;3;392;2388;1000;3903;23422
1;21;-12;1;1000;51867;64237;158607;139813;1462;2161;55408;238811;904815;13;4715;52242;238808;813402;84049;3;392;2388;1000;3909;233101
1;22;2;0;1000;51867;64277;159293;140057;1462;2161;55363;238804;906121;13;4724;5220;238803;813041;84034;3;392;2388;1000;3892;233792
1;23;34;-3;1000;51867;64214;158819;139475;1462;2161;55398;238805;904628;13;4725;52152;238805;81279;8424;3;392;2388;1000;3894;234562
1;24;-1;3;1000;51867;64238;159083;139881;1462;2161;55349;238812;904376;13;4744;52213;238803;813388;83891;3;392;2388;1000;390;233696
1;25;23;-4;1000;51867;64277;15941;139939;1462;2161;5540;238802;905416;13;4736;52256;238802;813661;83917;3;393;2388;1000;3895;234288
1;26;0;2;1000;51867;64216;158908;139607;1462;2161;55411;238807;904711;13;4726;52228;238806;813115;8426;3;394;2388;1000;3886;234149
1;27;-12;-4;1000;51867;64244;159047;140184;1462;2161;55407;238802;904796;13;4737;5220;238813;81346;84046;3;393;2388;1000;3899;234472
1;28;-24;5;1000;51867;64235;158284;139913;1462;2161;55468;238812;904984;13;4741;52257;238808;81273;84323;3;390;2388;1000;3901;232841
1;29;12;-1;1000;51867;64191;158483;140099;1462;2161;55425;238805;905047;13;4724;52241;238806;813306;84189;3;393;2388;1000;3893;233597
1;30;-22;0;1000;51867;6422;159352;139608;1462;2161;55437;238807;904562;13;474;52219;23880;813786;84065;3;390;2388;1000;3905;23411
1;31;14;5;1000;51867;64202;158418;13969;1462;2161;55413;238808;905878;13;4741;52195;238806;812528;84104;3;392;2388;1000;3894;233353
1;32;5;-3;1000;51867;64233;159138;140036;1462;2161;55496;238804;905097;13;4725;52192;238807;81297;84148;3;392;2388;1000;3902;234999
1;33;-42;-4;1000;51867;64271;15884;140243;1462;2161;55461;238804;904713;13;4728;52191;238808;813442;83753;3;392;2388;1000;3883;233506
1;34;15;-1;1000;51867;64254;158147;140048;1462;2161;5543;238803;904646;13;4747;5217;238809;812661;84349;3;392;2388;1000;3881;233092
1;35;3;2;1000;51867;64244;15900;14030;1462;2161;5543;238804;904576;13;4731;52175;238801;814017;8443;3;391;2388;1000;3913;234164
1;36;-4;-2;1000;51867;64254;158172;140554;1462;2161;55453;238801;904456;13;4725;52232;238804;813248;84246;3;392;2388;1000;3886;234308
1;37;-4;0;1000;51867;64199;157911;13989;1462;2161;55463;238807;905544;13;4729;52229;238804;813195;84142;3;392;2388;1000;3899;234352
1;38;-18;-2;1000;51867;64193;15896;13995;1462;2161;5547;238808;905527;13;4727;52242;238808;813661;84158;3;392;2388;1000;3906;234768
1;39;-3;-1;1000;51867;64201;158321;140069;1462;2161;55397;238802;905176;13;4712;52223;238805;813181;8414;3;392;2388;1000;387;233699
1;40;0;-4;1000;51867;64224;158208;140177;1462;2161;55457;238806;905298;13;4733;52184;238801;813103;83784;3;392;2388;1000;3884;233769
1;41;33;4;1000;51867;6424;159131;140321;1462;2161;55372;238806;904899;13;4709;52207;238803;813808;8437;3;392;2388;1000;3913;234444
1;42;5;-4;1000;51867;64212;158466;140138;1462;2161;55394;238808;905706;13;4749;52223;238805;813088;84137;3;392;2388;1000;390;23375
1;43;-27;5;1000;51867;64224;159152;140605;1462;2161;55368;238803;905788;13;4732;52274;238809;812722;84068;3;392;2388;1000;3899;233148
1;44;-1;2;1000;51867;64193;158694;14012;1462;2161;55415;238804;904687;13;4745;5223;23880;813145;84201;3;392;2388;1000;3906;234753
1;45;-13;0;1000;51867;64253;158242;139916;1462;2161;55383;238808;906032;13;4745;52173;238805;812831;84099;3;393;2388;1000;3879;233943
1;46;3;1;1000;51867;64243;158829;140127;1462;2161;55376;238806;906038;13;472;52202;238808;812871;83977;3;393;2388;1000;3893;233745
1;47;0;5;1000;51867;64221;158032;140289;1462;2161;55438;238806;905204;13;4722;52184;238805;812621;83973;3;392;2388;1000;3899;234873
1;48;19;1;1000;51867;64189;158851;139916;1462;2161;55402;238808;904526;13;474;52191;238806;812999;84376;3;392;2388;1000;3894;23365
1;49;-14;5;1000;51867;64223;158435;139776;1462;2161;55423;238807;905064;13;4722;52137;238804;813548;84151;3;392;2388;1000;3906;234498
1;50;-32;-1;1000;51867;64277;158849;140362;1462;2161;55392;238806;90486;13;4747;52233;238809;81273;84116;3;392;2388;1000;3885;234106
1;51;-1;3;1000;51867;64281;158554;140042;1462;2161;55373;238802;904709;13;4712;52191;238805;813436;84504;3;393;2388;1000;3894;233651
1;52;18;-1;1000;51867;64276;158377;139557;1462;2161;55304;238804;905601;13;4707;5221;238807;813282;84539;3;391;2388;1000;390;233388
1;53;21;-1;1000;51867;64261;157982;140226;1462;2161;55416;238805;905115;13;4729;52196;238806;813438;84418;3;392;2388;1000;389;233775
